"EmployerName","Address","CompanyNumber","SicCodes","DiffMeanHourlyPercent","DiffMedianHourlyPercent","DiffMeanBonusPercent","DiffMedianBonusPercent","MaleBonusPercent","FemaleBonusPercent","MaleLowerQuartile","FemaleLowerQuartile","MaleLowerMiddleQuartile","FemaleLowerMiddleQuartile","MaleUpperMiddleQuartile","FemaleUpperMiddleQuartile","MaleTopQuartile","FemaleTopQuartile","CompanyLinkToGPGInfo","ResponsiblePerson","EmployerSize","CurrentName","SubmittedAfterTheDeadline","DueDate","DateSubmitted"
"VODAFONE GROUP SERVICES LIMITED","Vodafone House, The Connection, Newbury, Berkshire, RG14 2FN","03802001","61900","9.7","7.4","30.7","9.6","88.4","87.4","60.0","40.0","59.5","40.5","69.3","30.7","68.4","31.6","https://www.vodafone.com/our-purpose/reporting-centre/uk-gender-pay-gap","Nick Read (Group CEO)","1000 to 4999","VODAFONE GROUP SERVICES LIMITED","False","06/10/2021 00:00:00","19/02/2021 08:57:29"
"VODAFONE LIMITED","Vodafone House, The Connection, Newbury, Berkshire, RG14 2FN","01471587","33200,
61900","12.8","19.2","28.2","17.9","90.0","89.8","56.0","44.0","61.1","38.9","69.2","30.8","74.6","25.4","https://www.vodafone.com/our-purpose/reporting-centre/uk-gender-pay-gap","Nick Read (Group CEO)","5000 to 19,999","VODAFONE LIMITED","False","06/10/2021 00:00:00","19/02/2021 08:59:57"
"VWV LEGAL SERVICES LIMITED","Narrow Quay House, Narrow Quay, Bristol, BS1 4QA","02778754","74990","24.4","22.6","40.0","58.6","5.7","3.2","10.5","89.5","18.4","81.6","30.7","69.3","34.2","65.8","","Sarah Cook (Director of HR)","250 to 499","VWV LEGAL SERVICES LIMITED","False","06/10/2021 00:00:00","05/03/2021 12:36:24"
"W.D.L. (CONTRACTING) LIMITED","Stuart Quarry, Chapel Road, Penderyn, Rct, CF44 9JY","03886047","41202","	-23.6","	-7.6","	-22.3","0.0","18.3","83.3","92.5","7.5","100.0","0.0","98.5","1.5","90.9","9.1","","Alex Lewis (Company Accountant)","250 to 499","W.D.L. (CONTRACTING) LIMITED","False","06/10/2021 00:00:00","26/01/2021 16:11:50"
"WALKERS SNACK FOODS LIMITED","450 South Oak Way, Green Park, Reading, England, RG2 6UW","02333074","82990","	-8.3","0.0","	-10.1","	-10.2","6.6","15.0","76.0","24.0","76.0","24.0","85.0","15.0","77.0","23.0","https://www.pepsico.co.uk/docs/librariesprovider22/gender-pay-gap/pepsico-uk-and-ireland-gender-pay-gap-report-2020.pdf?sfvrsn=bbd206b1_2","Dannii Portsmouth (Human Resources Vice President)","1000 to 4999","WALKERS SNACK FOODS LIMITED","False","06/10/2021 00:00:00","08/03/2021 13:55:35"
"WALKERS SNACKS (DISTRIBUTION) LIMITED","450 South Oak Way, Green Park, Reading, England, RG2 6UW","03566410","82990","	-28.0","	-26.3","50.2","	-6.9","11.8","34.0","94.0","6.0","85.0","15.0","87.0","13.0","73.0","27.0","https://www.pepsico.co.uk/docs/librariesprovider22/gender-pay-gap/pepsico-uk-and-ireland-gender-pay-gap-report-2020.pdf?sfvrsn=bbd206b1_2","Dannii Portsmouth (Human Resources Vice President)","250 to 499","WALKERS SNACKS (DISTRIBUTION) LIMITED","False","06/10/2021 00:00:00","08/03/2021 13:58:18"
"WALKERS SNACKS LIMITED","450 South Oak Way, Green Park, Reading, RG2 6UW","03474989","82990","	-19.4","	-47.4","51.3","15.5","55.1","53.6","85.0","15.0","63.0","37.0","51.0","49.0","53.0","47.0","https://www.pepsico.co.uk/docs/librariesprovider22/gender-pay-gap/pepsico-uk-and-ireland-gender-pay-gap-report-2020.pdf?sfvrsn=bbd206b1_2","Dannii Portsmouth (Human Resources Vice President)","500 to 999","WALKERS SNACKS LIMITED","False","06/10/2021 00:00:00","08/03/2021 14:01:03"
"Walsall Council","The Civic Centre, Walsall, West Midlands, United Kingdom, WS1 1TP","","1,
84110","5.9","5.7","0.0","0.0","36.0","64.0","17.6","82.4","41.9","58.1","35.5","64.5","34.7","65.3","https://go.walsall.gov.uk/equality_documents","","1000 to 4999","Walsall Council","False","06/10/2021 00:00:00","04/01/2021 11:10:05"
"WARREN JAMES (JEWELLERS) LIMITED","7 Merseyway, Stockport, SK1 1PN","01432090","47789","0.9","	-2.4","","","0.0","0.0","7.0","93.0","4.2","95.8","4.4","95.6","4.1","95.9","https://www.warrenjames.co.uk/gender-pay-gap","Guy Lightowler (Director of Commerce)","1000 to 4999","WARREN JAMES (JEWELLERS) LIMITED","False","06/10/2021 00:00:00","09/03/2021 10:34:37"
"Warrington & Vale Royal College","Winwick Road, Warrington, WA2 8QA","","1","11.3","21.0","","","0.0","0.0","23.2","76.8","24.5","75.5","41.4","58.6","55.6","44.4","https://www.wvr.ac.uk/the-legal-bit/gender-pay-gap/","","250 to 499","Warrington & Vale Royal College","False","06/10/2021 00:00:00","08/03/2021 12:43:07"
"Warwick District Council","Riverside House, Milverton Hill, Leamington Spa, Warwickshire, United Kingdom, CV32 5HZ","","1,
84110","14.3","15.5","8.7","0.0","2.0","1.5","33.0","67.0","42.0","58.0","41.0","59.0","59.0","41.0","https://estates8.warwickdc.gov.uk/CMIS/Document.ashx?czJKcaeAi5tUFL1DTL2UE4zNRBcoShgo=GQVxjtQlAOSi%2fQelBBDZ7hvtcdYGKlHIARYXZmItYZjUP1b%2bTY9WTg%3d%3d&rUzwRPf%2bZ3zd4E7Ikn8Lyw%3d%3d=pwRE6AGJFLDNlh225F5QMaQWCtPHwdhUfCZ%2fLUQzgA2uL5jNRG4jdQ%3d%3d&mCTIbCubSF","","500 to 999","Warwick District Council","False","06/10/2021 00:00:00","02/02/2021 16:50:25"
"Warwickshire County Council","Shire Hall, Warwick, Warwickshire, CV34 4RL","","1,
84110","2.7","8.7","","","0.0","0.0","25.9","74.1","28.1","71.9","34.5","65.5","36.1","63.9","https://www.warwickshire.gov.uk/performance/equality-diversity-warwickshire-county-council/3","","1000 to 4999","Warwickshire County Council","False","06/10/2021 00:00:00","25/09/2020 10:03:46"
"WATERAID","6th Floor 20 Canada Square, London, England, E14 5NN","01787329","88990","11.0","10.0","","","0.0","0.0","29.0","71.0","24.0","76.0","41.0","59.0","44.0","56.0","","Tim Wainwright (Chief Executive)","250 to 499","WATERAID","False","06/10/2021 00:00:00","16/02/2021 15:08:45"
"WATSON-MARLOW LIMITED","Watson-Marlow Ltd Bickland Water Road, Tregoniggie, Falmouth, Cornwall, TR11 4RU","02481019","21100,
28131,
28930,
32500","8.9","15.7","13.4","0.0","97.0","94.0","66.0","34.0","68.0","32.0","89.0","11.0","77.0","23.0","https://www.wmftg.com/siteassets/spirax-sarco-engineering-uk-gender-pay-gap-report2020.pdf","Emma Slater (Group Rewards Analyst)","250 to 499","WATSON-MARLOW LIMITED","False","06/10/2021 00:00:00","12/03/2021 09:01:30"
"WAVEMAKER LIMITED","Sea Containers, 18 Upper Ground, London, United Kingdom, SE1 9ET","04078547","73110","11.5","7.5","29.2","10.1","14.2","11.2","40.0","60.0","43.0","57.0","42.0","58.0","51.0","49.0","https://wavemakerglobal.com/uk/gender-pay-gap-report-2020/","Paul Hutchison (Chief Executive Officer)","500 to 999","WAVEMAKER LIMITED","False","06/10/2021 00:00:00","11/03/2021 08:59:43"
"WAVENEY NORSE LIMITED","280 Fifers Lane, Norwich, Norfolk, United Kingdom, NR6 6EQ","06600996","96090","7.2","11.1","16.8","13.2","2.4","1.0","58.7","41.3","94.7","5.3","96.0","4.0","83.8","16.2","https://norsegroup.co.uk/wp-content/uploads/2021/03/NG-Gender-Pay-Gap-Report-08.03.21-6045f54eceba6.pdf","Katie Marrison (Group HR Director)","250 to 499","WAVENEY NORSE LIMITED","False","06/10/2021 00:00:00","10/03/2021 11:30:24"
"Wealden District Council","Vicarage Lane, Hailsham, East Sussex, United Kingdom, BN27 2AX","","1,
84110","16.4","21.6","	-4.0","28.8","37.4","37.3","26.0","74.0","29.0","71.0","41.0","59.0","55.0","45.0","","","250 to 499","Wealden District Council","False","06/10/2021 00:00:00","10/03/2021 19:50:55"
"WEAVER VALE HOUSING TRUST LIMITED","Gadbrook Point, Rudheath Way Gadbrook Park, Northwich, Cheshire, CW9 7LL","04227894","68201","4.9","	-1.3","40.8","5.6","14.3","7.1","31.0","69.0","74.0","26.0","51.0","49.0","52.0","48.0","","Vicky Ferrier (Head of HR & OD)","250 to 499","WEAVER VALE HOUSING TRUST LIMITED","False","06/10/2021 00:00:00","25/11/2020 11:18:55"
"WELTON BIBBY AND BARON LIMITED","1 Quartermaster Road, West Wilts Trading Estate, Westbury, Wiltshire, BA13 4JT","04946078","17211","17.4","15.8","	-33.3","15.8","88.1","84.3","66.2","33.8","81.7","18.3","93.0","7.0","95.8","4.2","https://www.welton.co.uk","Rachel Maidment (Finance Director)","250 to 499","WELTON BIBBY AND BARON LIMITED","False","06/10/2021 00:00:00","23/10/2020 11:04:56"
"WESSEX EAGLE LIMITED","Eagle Plant, Beeching Close, Chard, Somerset, TA20 1BB","01540286","77320","5.4","4.7","36.5","30.4","87.6","95.0","87.0","13.0","94.0","6.0","92.0","8.0","95.0","5.0","https://www.eagleplant.co.uk/about-us/policies","Gary Parfoot (Director)","250 to 499","WESSEX EAGLE LIMITED","False","06/10/2021 00:00:00","24/02/2021 10:29:52"
"WESSEX LEARNING TRUST","The Kings Of Wessex Academy, Station Road, Cheddar, Somerset, BS27 3AQ","07348580","85310","17.3","33.8","","","0.0","0.0","15.4","84.6","8.2","91.8","15.5","84.5","23.6","76.4","https://wessexlearningtrust.co.uk/","","500 to 999","WESSEX LEARNING TRUST","False","06/10/2021 00:00:00","28/01/2021 10:54:09"
"WESSEX WATER SERVICES LIMITED","Wessex Water Operations Centre, Claverton Down Road, Claverton Down, Bath, BA2 7WW","02366648","36000","4.8","5.7","	-2.4","5.0","71.8","51.7","71.0","29.0","84.5","15.5","82.7","17.3","80.9","19.1","https://www.wessexwater.co.uk/corporate/the-company/about-us/our-employees","Colin Skellett (Chief Executive)","1000 to 4999","WESSEX WATER SERVICES LIMITED","False","06/10/2021 00:00:00","04/03/2021 13:15:34"
"West Berkshire Council","West Berkshire Council, Market Street, Newbury, United Kingdom, RG14 5LD","","1,
84110","18.2","14.9","4.6","20.0","2.6","2.9","16.8","83.2","17.4","82.6","21.3","78.7","33.5","66.5","","","1000 to 4999","West Berkshire Council","False","06/10/2021 00:00:00","12/03/2021 10:39:03"
"West Bromwich Building Society","2 Providence Place, West Bromwich, West Midlands, B708AF","","64192","40.1","33.7","73.1","50.7","84.1","77.6","15.9","84.1","28.2","71.8","39.9","60.1","65.2","34.8","https://www.westbrom.co.uk/-/media/wbbs/files/pdfs/gender-pay-reporting/a14336-01-21-01-gender-pay-gap-report.ashx","Sophie Leek (Divisional Director HR)","500 to 999","West Bromwich Building Society","False","06/10/2021 00:00:00","22/02/2021 10:17:25"
"West Hertfordshire Hospitals NHS Trust","Watford General Hospital, 60 Vicarage Road, Watford, Hertfordshire, United Kingdom, WD18 0HB","","1,
86210","27.3","12.0","27.3","46.9","7.3","1.0","18.2","81.8","20.2","79.8","17.8","82.2","34.1","65.9","https://www.westhertshospitals.nhs.uk/about/equality.asp","","5000 to 19,999","West Hertfordshire Hospitals NHS Trust","False","06/10/2021 00:00:00","14/01/2021 16:19:34"
"West Mercia Police","PO Box 55 Hindlip Hall, Hindlip, Worcester, Worcestershire, United Kingdom, WR3 8SP","","1,
84240","10.5","22.9","35.5","	-65.3","2.8","1.2","42.8","57.2","45.7","54.3","58.4","41.6","66.7","33.3","https://www.westmercia.police.uk/police-forces/west-mercia-police/areas/west-mercia/about-us/about-us/diversity-equality-and-inclusion/","","1000 to 4999","West Mercia Police","False","06/10/2021 00:00:00","23/09/2020 09:57:12"
"West Suffolk Council","West Suffolk House,, Western Way, Bury St Edmunds, Suffolk, IP33 3YU","","","	-0.6","	-3.0","","","0.0","0.0","61.4","38.6","45.3","54.7","41.6","58.4","50.0","50.0","","","500 to 999","West Suffolk Council","False","06/10/2021 00:00:00","23/02/2021 17:36:17"
"WESTCOAST LIMITED","Arrowhead Park, Arrowhead Road Theale, Reading, Berkshire, RG7 4AH","01816587","46900","23.0","14.0","59.0","28.0","90.0","88.0","50.0","50.0","55.0","45.0","54.0","46.0","75.0","25.0","https://cdn.westcoast.co.uk/pdfs/GPGR/Westcoast%20Ltd%202020%20Gender%20Pay%20Gap%20report.pdf","Sunil Madhani (Financial Director)","500 to 999","WESTCOAST LIMITED","False","06/10/2021 00:00:00","01/03/2021 14:30:29"
"Weymouth College","Cranford Avenue, Weymouth, Dorset, United Kingdom, DT4 7LQ","","1,
85320","6.1","5.8","","","0.0","0.0","28.8","71.2","31.7","68.3","36.5","63.5","48.1","51.9","https://www.weymouth.ac.uk/about-us/policies-and-statements/annual-reports/","","250 to 499","Weymouth College","False","06/10/2021 00:00:00","02/03/2021 15:02:23"
"WHITBREAD GROUP PLC","Whitbread Court, Houghton Hall Business Park, Porz Avenue Dunstable, Bedfordshire, LU5 5XE","00029423","55100,
56101","11.7","5.8","30.2","31.6","12.0","7.0","36.2","63.8","38.2","61.8","36.0","64.0","38.9","61.1","","Louise Smalley (Human Resources Director)","20,000 or more","WHITBREAD GROUP PLC","False","06/10/2021 00:00:00","03/03/2021 08:20:03"
"WHITE & CASE LLP","5 Old Broad Street, London, EC2N 1DW","OC324340","","18.2","26.4","48.1","59.1","52.1","53.2","25","75","38","62","37","63","51","49","https://www.whitecase.com/sites/default/files/2021-02/2020-uk-gender-pay-gap-report.pdf","Oliver Brettle (Partner)","500 to 999","WHITE & CASE LLP","False","06/10/2021 00:00:00","01/02/2021 10:08:24"
"WILLIAM GIBBONS & SONS,LIMITED","Unit 26 Planetary Industrial Estate, Planetary Road, Willenhall, England, WV13 3XA","00116865","18129,
18130","22.2","6.4","","","0.0","0.0","58.2","41.8","51.1","48.9","80.0","20.0","97.2","2.8","","Michelle Bettles (Finance Manager)","250 to 499","WILLIAM GIBBONS & SONS,LIMITED","False","06/10/2021 00:00:00","03/02/2021 15:34:31"
"William Jones's Schools Foundation","Haberdashers Hall, 18 West Smithfield, London, London, United Kingdom, EC1A 9HQ","","85590","6.9","2.4","	-66.7","	-66.7","0.5","0.3","43.6","56.4","33.9","66.1","40.3","59.7","47.5","52.5","https://www.habsmonmouth.org/information/gender-pay-gap-report/","Tessa Norgrove (Foundation Bursar)","500 to 999","William Jones's Schools Foundation","False","06/10/2021 00:00:00","08/03/2021 09:47:53"
"WILLIS LIMITED","51 Lime Street, London, EC3M 7DQ","00181116","65120,
65202","38.4","34.6","73.3","57.3","92.1","90.8","43.1","56.9","51.8","48.2","64.0","36.0","79.9","20.1","https://www.willistowerswatson.com/en-GB/Notices/gender-pay-gap-report","Nicolas Aubert (Head of Willis Towers Watson GB CEO Willis Limited)","1000 to 4999","WILLIS LIMITED","False","06/10/2021 00:00:00","04/03/2021 10:51:08"
"WILLOUGHBY CORPORATE SERVICES LIMITED","80 Mount Street, Nottingham, Nottinghamshire, NG1 6HH","02576986","82110","6.8","8.2","30.3","29.2","74.7","74.7","23.5","76.5","22.9","77.1","39.8","60.2","33.9","66.1","https://www.freeths.co.uk/gender-pay-gap-report/","Colin Flanagan (Chairman)","250 to 499","WILLOUGHBY CORPORATE SERVICES LIMITED","False","06/10/2021 00:00:00","04/03/2021 11:31:19"
"Wirral Community Health and Care NHS Foundation Trust","St Catherine's Health Centre, Derby Road, Birkenhead, Wirral, CH42 0LQ","","1,
86101,
86210,
86230","9.2","1.8","","","0.0","0.0","11.1","88.9","10.8","89.2","9.1","90.9","13.9","86.1","","","1000 to 4999","Wirral Community Health and Care NHS Foundation Trust","False","06/10/2021 00:00:00","02/03/2021 10:18:01"
"Wirral Metropolitan College","Europa Boulevard, Birkenhead, United Kingdom, CH41 4NT","","1,
85590","9.5","11.1","","","0.0","0.0","25.2","74.8","26.4","73.6","28.9","71.1","50.0","50.0","","","250 to 499","Wirral Metropolitan College","False","06/10/2021 00:00:00","05/03/2021 15:03:40"
"Woking Borough Council","Civic Offices, Gloucester Square, Woking, Surrey, United Kingdom, GU21 6YL","","1,
84110","19.3","10.2","","","0.0","0.0","26.0","74.0","28.0","72.0","30.0","70.0","54.0","46.0","https://www.woking.gov.uk/sites/default/files/documents/Jobs/Pay%20Policy%20Statement%202021-22%20and%20Gender%20Pay%20Gap%20Data.pdf","","250 to 499","Woking Borough Council","False","06/10/2021 00:00:00","18/02/2021 13:08:02"
"WORLD VISION UK","World Vision House, Opal Drive, Fox Milne, Milton Keynes, Buckinghamshire, MK15 0ZR","01675552","88990","14.5","16.7","8.8","17.4","29.6","24.9","20.9","79.1","30.3","69.7","36.4","63.6","45.4","54.6","","Jacquie Heany (Director of People and Business Excellence)","250 to 499","WORLD VISION UK","False","06/10/2021 00:00:00","02/03/2021 09:10:34"
"WOVEN SOLUTIONS LTD","Eagle House 6th Floor, 108-110 Jermyn Street, London, United Kingdom, SW1Y 6HB","11509139","82200","23.3","1.3","","","0.0","0.0","44.0","56.0","44.0","56.0","36.0","64.0","61.0","39.0","","Hannah-May Tatton (Head of Reward)","500 to 999","WOVEN SOLUTIONS LTD","False","06/10/2021 00:00:00","02/11/2020 09:30:46"
"WPP 2005 LIMITED","Sea Containers House, 18 Upper Ground, London, United Kingdom, SE1 9GL","01003653","70100","48.6","44.9","62.8","60.0","43.6","33.3","33.0","67.0","48.0","52.0","58.0","42.0","74.0","26.0","https://www.wpp.com/investors/results-presentations-and-reports?cat=Results&page=1","Debbie Scott (Director of HR Compliance/ EMEA ER)","500 to 999","WPP 2005 LIMITED","False","06/10/2021 00:00:00","11/03/2021 09:13:23"
"WPP BRANDS (UK) LIMITED","Sea Containers, 18 Upper Ground, London, England, SE1 9PD","00390845","73110","8.5","12.8","1.8","8.3","11.3","9.1","39.0","61.0","47.0","53.0","50.0","50.0","51.0","49.0","","Ian Gary Paul (Director)","500 to 999","WPP BRANDS (UK) LIMITED","False","06/10/2021 00:00:00","11/03/2021 09:42:49"
"WPP HEALTH LIMITED","Alphabeta, 14-18 Finsbury Square, London, England, EC2A 1AH","02670980","70100","12.8","17.1","	-18.7","25.0","7.7","7.9","32.0","68.0","32.0","68.0","41.0","59.0","44.0","56.0","","Claire Gillis (CEO)","250 to 499","WPP HEALTH LIMITED","False","06/10/2021 00:00:00","11/03/2021 09:13:00"
"WUNDERMAN THOMPSON (UK) LIMITED","Greater London House, Hampstead Road, London, England, NW1 7QP","01660783","73110","16.3","21.4","	-6.5","0.0","90.7","89.9","34.0","66.0","50.0","50.0","58.0","42.0","63.0","37.0","","Pip Hulbert (CEO)","250 to 499","WUNDERMAN THOMPSON (UK) LIMITED","False","06/10/2021 00:00:00","11/03/2021 09:29:41"
"WYCLIFFE COLLEGE (INCORPORATED)","Finance Department Wycliffe College, Regent Street, Stonehouse, Glos, GL10 2AD","00255632","85100,
85200,
85310","19.4","30.5","","","0.0","0.0","23.0","77.0","29.0","71.0","47.0","53.0","48.0","52.0","https://www.wycliffe.co.uk/policies/","Tom Wood (Director of Finance and Operations)","250 to 499","WYCLIFFE COLLEGE (INCORPORATED)","False","06/10/2021 00:00:00","18/02/2021 07:44:53"
"WYTHENSHAWE COMMUNITY HOUSING GROUP LIMITED","Wythenshawe House 8 Poundswick Lane, Greater Manchester, Manchester, M22 9TA","08198590","68201","4.6","11.6","","","0.0","1.4","61.0","39.0","43.0","57.0","62.0","38.0","61.0","39.0","https://www.wchg.org.uk/wp-content/uploads/WYTH1347-Gender-Pay-Gap-Report-2020_Final_WEB.pdf","Paul Roberts (Assistant Director of Transformation)","500 to 999","WYTHENSHAWE COMMUNITY HOUSING GROUP LIMITED","False","06/10/2021 00:00:00","22/01/2021 16:40:15"
"XL CATLIN SERVICES SE","20 Gracechurch Street, London, EC3V 0BG","SE000103","66220","29.6","32.3","56.8","45.4","95.3","95.4","44.0","56.0","49.0","51.0","69.0","31.0","78.0","22.0","https://axaxl.com/about-us/-/media/axaxl/files/pdfs/about-us/diversity-and-inclusion/report--gender-pay-gap-2020.pdf?sc_lang=en&hash=E3F2BBBF63A51C837402AEA772226A8D","Sean McGovern (Chief Executive Officer, UK & Lloyd's)","1000 to 4999","XL CATLIN SERVICES SE","False","06/10/2021 00:00:00","08/02/2021 12:28:14"
"YHA (ENGLAND AND WALES)","Trevelyan House, Dimple Road, Matlock, Derbyshire, DE4 3YH","00282555","55202","17.3","16.9","","","0.0","0.0","42.0","58.0","48.0","52.0","61.0","39.0","61.0","39.0","https://www.yha.org.uk/sites/default/files/uploads/PDFs/Gender%20Pay%20Reporting%202020.pdf","James Blake (CEO)","1000 to 4999","YHA (ENGLAND AND WALES)","False","06/10/2021 00:00:00","01/03/2021 13:32:40"
"YORKARE HOMES LIMITED","Brantingham Thorpe Hall, Brantingham, Nr Brough, North Humberside, HU15 1QG","04755842","87100","	-3.1","0.0","","","0.0","0.0","10.0","90.0","4.0","96.0","12.0","88.0","4.0","96.0","https://yorkarehomes.co.uk/","Elizabeth Garton (Director)","250 to 499","YORKARE HOMES LIMITED","False","06/10/2021 00:00:00","23/02/2021 17:29:04"
"Yorkshire Building Society","Yorkshire House, Yorkshire Drive, Bradford, BD5 8LJ","MUT00001","64192","32.9","29.0","48.3","33.3","91.2","93.8","18.0","82.0","27.5","72.5","41.0","59.0","58.5","41.5","https://www.ybs.co.uk/your-society/inside-your-society/corporate-governance/policies/gender-pay-gap.html","Stephen White (Chief Operating Officer)","1000 to 4999","Yorkshire Building Society","False","06/10/2021 00:00:00","11/01/2021 09:41:07"
"YORKSHIRE CAUSEWAY SCHOOLS TRUST","St Aidan's Church Of England High School, Oatlands Drive, Harrogate, North Yorkshire, HG2 8JR","07663935","85200,
85310","26.0","52.0","","","0.0","0.0","9.0","91.0","13.0","87.0","15.0","85.0","34.0","66.0","https://yorkshirecauseway.co.uk/policies/","","500 to 999","YORKSHIRE CAUSEWAY SCHOOLS TRUST","False","06/10/2021 00:00:00","24/02/2021 11:46:34"
